Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Andy Moog,BRW,G,35,4,5,4,3,3,5,0,1,0,0,5,3,4,5
Bill Ranford,BRW,G,30,4,4,4,3,4,4,0,1,0,0,4,3,2,4
Greg Millen,BNX,G,29,4,4,4,4,4,5,0,0,0,0,4,5,3,4
Chris Terreri,BNX,G,30,2,2,3,4,2,3,0,1,0,0,2,1,2,3
Sean Burke,BRM,G,1,10,4,5,3,4,5,0,1,0,0,4,3,5,4
Ed Belfour,BRM,G,31,6,3,4,4,3,3,0,1,0,0,3,3,2,5
Jacques Cloutier,COR,G,1,3,4,4,4,4,4,0,1,0,0,3,4,2,4
Clint Malarchuk,COR,G,30,5,3,3,4,2,3,0,1,0,0,4,4,3,4
Mike Vernon,COW,G,30,5,5,6,5,6,5,0,1,0,0,5,5,4,5
Don Beaupre,COW,G,33,3,3,4,4,3,3,0,1,0,0,4,3,4,4
Peter Sidorkiewicz,DWB,G,30,6,4,5,3,4,5,0,1,0,0,5,4,4,3
Bob Mason,DWB,G,31,5,3,4,3,3,3,0,0,0,0,3,5,3,4
Brian Hayward,ETI,G,1,6,4,5,4,4,5,0,1,0,0,3,4,3,4
Vincent Riendeau,ETI,G,30,6,4,4,3,3,4,0,1,0,0,3,4,3,4
Glenn Healy,GRA,G,35,5,5,4,4,5,4,0,1,0,0,4,3,3,5
Bob Essensa,GRA,G,31,3,3,4,3,3,4,0,1,0,0,4,3,2,3
Allan Bester,HFX,G,30,4,4,5,4,3,5,0,1,0,0,5,4,3,5
Mike Liut,HFX,G,1,6,4,5,3,4,3,0,1,0,0,3,5,4,4
Grant Fuhr,HOT,G,31,6,4,5,5,5,4,0,0,0,0,4,4,5,4
Jon Casey,HOT,G,30,2,4,5,4,3,5,0,1,0,0,4,4,4,5
Ron Hextall,HSW,G,27,6,4,5,5,5,5,0,1,0,0,5,5,4,6
Daren Puppa,HSW,G,31,9,4,5,3,4,4,0,0,0,0,4,4,5,3
Kelly Hrudey,NCJ,G,32,6,5,5,4,4,5,0,1,0,0,4,3,5,6
Rejean Lemelin,NCJ,G,1,3,4,5,5,4,4,0,1,0,0,5,4,4,4
Tom Barrasso,NIU,G,35,9,4,5,5,4,5,0,0,0,0,3,4,4,3
Billy Smith,NIU,G,35,8,4,3,5,4,3,0,1,0,0,4,4,2,3
Rick Wamsley,PAP,G,31,6,4,4,3,4,4,0,1,0,0,4,4,3,4
Daniel Berthiaume,PAP,G,30,4,2,3,2,3,2,0,1,0,0,2,3,2,3
John Vanbiesbrouck,PHI,G,34,5,4,5,5,4,6,0,1,0,0,5,3,4,5
Mike Richter,PHI,G,35,7,2,2,1,3,2,0,1,0,0,2,3,2,1
Pete Peeters,SBT,G,30,6,4,5,4,4,4,0,1,0,0,6,3,5,4
Wendell Young,SBT,G,1,6,4,3,2,4,3,0,1,0,0,3,4,3,5
Patrick Roy,QQB,G,33,6,5,5,4,5,5,0,1,0,0,5,5,4,5
Darren Pang,QQB,G,40,2,3,4,4,4,4,0,1,0,0,4,3,3,3
Ron Tugnutt,THC,G,1,2,3,4,3,4,4,0,1,0,0,2,4,2,5
Roland Melanson,THC,G,31,5,2,3,2,3,2,0,1,0,0,3,4,3,4
Kirk McLean,VFM,G,1,8,4,4,3,4,4,0,1,0,0,4,4,5,5
Steve Weeks,VFM,G,31,3,3,4,3,4,4,0,1,0,0,4,4,3,3
Greg Stefan,WIC,G,30,5,5,4,3,4,4,0,1,0,0,4,2,4,5
Alain Chevrier,WIC,G,32,5,4,4,3,4,3,0,1,0,0,4,3,5,4
