Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Pasi Nurminen,AHC,G,31,6,4,4,4,4,4,0,1,0,0,5,5,5,5
Patrick Lalime,AHC,G,40,6,4,5,2,4,4,0,0,0,0,4,4,4,4
Robert Esche,AUT,G,42,9,4,4,4,4,4,0,0,0,0,4,4,4,4
Mike Dunham,AUT,G,1,6,4,3,3,3,4,0,1,0,0,4,4,4,4
Jose Theodore,BAY,G,60,5,5,5,4,4,5,0,0,0,0,6,6,6,6
Jamie McLennan,BAY,G,33,6,4,4,2,3,4,0,1,0,0,4,4,4,4
Martin Gerber,CDA,G,29,9,3,3,2,5,4,0,0,0,0,3,3,3,3
Marc Denis,CDA,G,30,7,5,5,3,4,4,0,1,0,0,4,3,4,4
Dan Cloutier,DIN,G,39,7,5,5,3,3,5,0,0,0,0,4,4,4,4
Garth Snow,DIN,G,30,8,4,3,3,3,5,0,0,0,0,5,4,4,4
Chris Osgood,HAM,G,35,4,4,4,2,4,4,0,0,0,0,5,5,5,5
Fred Brathwaite,HAM,G,40,8,4,3,2,2,4,0,0,0,0,4,3,4,3
Brian Boucher,HIG,G,33,8,4,4,4,4,3,0,1,0,0,4,4,4,4
Jean-Francois Labbe,HIG,G,35,4,3,3,2,2,3,0,0,0,0,2,2,2,2
Jean-Sebastien Aubin,HOT,G,31,3,4,4,2,2,4,0,0,0,0,4,4,4,4
Ron Tugnutt,HOT,G,30,6,4,4,3,3,4,0,0,0,0,3,3,3,3
Olaf Kolzig,SPG,G,37,11,5,5,4,4,5,0,0,0,0,5,4,5,5
Wade Flaherty,SPG,G,30,6,4,4,3,2,4,0,0,0,0,2,3,2,3
Felix Potvin,ITA,G,39,6,5,5,2,3,4,0,0,0,0,4,4,5,4
Jeff Hackett,ITA,G,31,7,3,3,3,3,4,0,0,0,0,3,3,3,3
Bob Essensa,MHA,G,30,5,4,4,3,4,4,0,1,0,0,4,3,4,4
Roman Turek,MHA,G,1,10,5,5,3,4,5,0,0,0,0,4,4,4,4
Steve Shields,MHT,G,31,11,4,4,2,2,4,0,0,0,0,4,4,4,4
Jamie Storr,MHT,G,1,7,4,4,3,3,4,0,1,0,0,4,4,4,4
Roman Cechmanek,MGG,G,32,6,5,5,5,4,5,0,0,0,0,5,5,5,5
John Grahame,MGG,G,47,10,4,3,2,2,4,0,0,0,0,3,3,3,3
