Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Jeff O'Neill,AHC,F,92,7,4,5,4,3,5,4,0,7,5,3,5,4,3
Jochen Hecht,AHC,F,71,6,5,4,4,5,4,3,1,11,3,2,3,4,3
Patric Kjellberg,AHC,F,18,9,4,4,4,3,4,3,1,7,5,5,3,4,2
Bobby Holik,AHC,F,16,11,4,4,4,5,4,5,0,9,4,4,5,3,3
Mike Ricci,AHC,F,9,6,4,4,3,4,3,4,1,9,4,4,4,4,2
Kristian Huselius,AHC,F,22,4,4,3,3,3,3,3,1,5,2,2,2,3,2
Mattias Ohlund,AHC,D,2,10,4,4,4,4,4,4,1,9,4,5,2,5,4
Jaroslav Modry,AHC,D,44,9,3,4,3,3,3,3,0,7,3,4,4,5,3
Dmitri Kalinin,AHC,D,45,8,3,4,3,4,3,3,1,5,3,6,3,3,3
Andrew Ference,AHC,D,7,6,3,3,2,2,2,3,1,5,3,3,3,2,3
Olli Jokinen,AUT,F,12,8,4,5,5,3,4,4,1,9,3,4,2,3,3
Anson Carter,AUT,F,22,8,5,5,4,4,4,3,0,9,5,4,2,4,3
Martin St. Louis,AUT,F,26,6,5,5,4,3,2,2,1,12,4,4,3,4,2
Marian Gaborik,AUT,F,10,5,4,5,4,2,5,3,0,5,4,5,4,4,1
Dean McAmmond,AUT,F,37,7,5,4,4,3,3,2,1,7,4,4,3,4,2
Pierre-Marc Bouchard,AUT,F,17,4,4,3,3,4,3,3,1,6,2,2,2,3,2
Tom Poti,AUT,D,3,9,4,4,3,3,4,2,1,9,3,5,1,5,2
Brad Stuart,AUT,D,7,9,4,4,4,3,4,3,1,7,4,4,5,3,4
Trevor Daley,AUT,D,8,8,5,4,2,4,2,3,1,9,1,6,1,2,1
Philippe Boucher,AUT,D,43,10,3,4,3,5,3,3,0,5,2,6,3,3,3
Markus Naslund,BAY,F,19,7,6,5,5,2,4,2,1,9,5,4,4,4,2
Michael Peca,BAY,F,27,6,4,4,4,5,4,5,0,9,3,5,4,3,5
Mikael Samuelsson,BAY,F,37,9,4,3,2,3,2,3,0,8,2,2,2,2,2
Jason Spezza,BAY,F,39,9,4,4,4,6,4,3,0,11,4,2,3,4,3
Andrew Brunette,BAY,F,15,8,4,3,4,4,4,2,1,9,4,4,2,4,2
Greg Johnson,BAY,F,22,6,4,4,3,3,3,2,1,7,3,5,2,4,2
Wade Redden,BAY,D,6,9,4,4,4,3,4,4,1,7,5,5,1,4,3
Rhett Warrener,BAY,D,4,9,3,3,2,5,4,4,0,10,3,5,4,4,4
Mike Green,BAY,D,52,6,4,3,2,4,2,3,0,11,4,5,1,2,1
Marc-Andre Bergeron,BAY,D,47,7,5,4,3,3,3,3,1,8,3,6,2,3,2
Mats Sundin,DIN,F,13,10,5,6,5,4,4,2,0,9,5,4,3,4,4
Brad Richards,DIN,F,19,8,5,4,3,2,4,2,1,7,4,4,2,4,2
Alex Tanguay,DIN,F,40,6,5,4,5,5,2,2,1,15,6,4,2,5,3
Cory Stillman,DIN,F,61,7,4,4,5,2,4,3,1,11,4,4,2,6,2
David Legwand,DIN,F,11,6,4,4,3,4,3,3,1,7,3,2,3,3,3
P.J. Axelsson,DIN,F,12,5,4,5,3,3,3,3,1,7,4,2,4,3,1
Nicklas Lidstrom,DIN,D,5,6,5,4,3,6,3,3,1,5,2,6,1,3,1
Vladimir Malakhov,DIN,D,23,11,5,4,3,4,4,5,1,7,3,5,3,3,3
Aaron Miller,DIN,D,3,8,5,4,3,3,2,4,0,10,3,4,3,3,2
Colin White,DIN,D,6,9,2,2,1,4,1,4,0,2,0,4,4,1,4
Patrick Sharp,HAM,F,10,7,4,3,2,3,2,3,0,7,3,2,3,1,3
Rico Fata,HAM,F,33,8,5,5,2,2,3,3,1,9,5,4,4,3,3
Martin Straka,HAM,F,19,5,6,5,3,3,3,2,1,10,4,4,3,4,2
Martin Erat,HAM,F,18,6,5,4,4,4,4,3,1,8,3,2,2,4,2
Alexei Kovalev,HAM,F,27,9,4,6,5,1,4,3,1,11,6,5,2,2,2
Jarome Iginla,HAM,F,12,8,5,5,4,3,4,4,0,9,5,4,3,4,2
Kimmo Timonen,HAM,D,44,7,5,5,4,4,4,3,1,9,4,5,2,5,1
Patrice Brisbois,HAM,D,43,8,4,4,3,5,3,3,0,7,3,5,3,4,2
Jon Klemm,HAM,D,55,8,4,4,3,4,3,4,0,5,3,4,2,4,3
Jeff Jillson,HAM,D,6,9,5,4,2,4,3,3,0,5,2,6,3,3,3
Joe Thornton,HIG,F,19,11,5,4,5,5,4,3,1,12,3,2,4,5,4
Brian Gionta,HIG,F,14,4,4,3,3,6,3,3,0,5,3,2,2,2,2
Claude Lemieux,HIG,F,22,11,3,4,4,3,4,4,0,7,4,5,5,3,5
Milan Hejduk,HIG,F,23,6,5,5,5,3,3,2,0,11,4,4,3,3,2
Nils Ekman,HIG,F,32,5,5,4,4,6,4,3,1,8,4,2,2,4,2
Radek Bonk,HIG,F,33,10,5,3,4,3,4,3,1,10,5,4,2,4,3
Rostislav Klesla,HIG,D,44,9,3,3,3,4,3,3,0,2,3,4,1,4,2
Kyle McLaren,HIG,D,4,9,3,3,2,4,3,5,1,9,3,5,3,3,4
Derek Morris,HIG,D,53,9,4,4,3,3,3,3,0,9,4,4,1,3,2
Zdeno Chara,HIG,D,29,15,4,4,3,5,4,6,1,10,3,5,4,3,4
Pavel Datsyuk,HOT,F,13,7,5,5,5,4,5,3,1,11,5,2,2,4,2
Daniel Briere,HOT,F,48,5,5,5,4,2,4,3,0,10,4,3,1,4,3
Derek Roy,HOT,F,20,6,5,5,3,3,3,3,1,11,3,3,1,3,1
Chris Gratton,HOT,F,77,11,4,4,3,3,3,4,1,7,4,3,4,3,3
Ryan Kesler,HOT,F,11,8,4,3,2,4,3,3,0,9,3,2,1,2,1
Mikael Renberg,HOT,F,21,6,5,5,4,3,4,2,1,7,3,4,4,5,3
Sheldon Souray,HOT,D,44,10,5,4,4,5,5,3,1,9,4,5,2,4,2
Craig Rivet,HOT,D,52,8,5,4,3,3,3,3,0,5,3,4,5,3,3
Alexander Khavanov,HOT,D,29,8,5,4,3,2,3,3,1,5,3,3,4,3,2
Filip Kuba,HOT,D,17,8,5,4,2,4,3,3,1,3,2,6,2,3,2
Doug Gilmour,IFV,F,93,5,4,5,4,3,3,2,1,11,3,4,3,5,2
Rick Nash,IFV,F,61,9,5,5,4,2,3,3,1,9,4,2,3,2,3
Jere Lehtinen,IFV,F,15,7,4,4,4,5,4,4,0,10,4,4,4,3,2
Igor Larionov,IFV,F,8,4,5,3,4,3,2,2,1,10,4,3,3,4,2
Fredrik Modin,IFV,F,33,10,4,4,4,3,5,3,1,7,4,4,2,3,2
Glen Murray,IFV,F,27,9,5,4,4,5,3,3,0,9,3,2,3,3,3
Eric Weinrich,IFV,D,2,9,3,4,3,3,3,3,1,7,3,2,4,2,2
Jassen Cullimore,IFV,D,5,12,4,3,2,3,3,4,1,9,3,4,3,3,3
Chris Chelios,IFV,D,24,6,5,4,4,5,5,4,0,9,3,5,2,4,4
Marek Zidlicky,IFV,D,20,6,5,4,4,1,4,3,0,8,3,6,3,4,3
Robert Lang,ITA,F,26,10,4,4,3,3,4,2,0,10,4,5,3,4,2
Sergei Berezin,ITA,F,29,7,4,5,3,2,4,2,0,7,3,4,2,3,2
David Oliver,ITA,F,7,6,5,4,3,5,4,3,0,9,5,2,1,2,1
Miroslav Satan,ITA,F,81,6,5,6,4,2,4,3,1,8,4,2,2,3,2
Jiri Hudler,ITA,F,14,5,3,3,2,2,3,3,1,11,3,2,1,2,1
Alexandre Daigle,ITA,F,94,7,6,5,4,2,3,2,1,10,4,3,3,2,2
Andy Sutton,ITA,D,25,13,3,4,2,4,3,4,1,5,2,5,3,4,3
Wade Brookbank,ITA,D,5,11,5,4,1,2,3,3,1,6,3,5,3,2,3
Dmitry Yushkevich,ITA,D,22,9,4,4,3,4,4,3,0,7,3,4,4,3,4
Andrew Hutchinson,ITA,D,37,8,5,4,3,2,4,3,0,11,4,6,1,3,1
Gary Roberts,KVK,F,7,6,4,4,3,4,3,4,1,10,5,4,4,3,6
Keith Primeau,KVK,F,25,10,4,5,4,3,4,3,1,7,3,3,4,4,4
Dave Scatchard,KVK,F,38,10,4,4,3,3,3,5,0,7,4,3,0,3,4
Brendan Shanahan,KVK,F,14,9,4,5,5,3,5,3,0,11,6,4,2,4,4
Valeri Bure,KVK,F,41,5,5,4,4,4,4,3,0,10,3,2,2,4,2
Alexei Yashin,KVK,F,81,9,5,5,5,3,5,2,0,11,5,3,3,4,2
Andrei Markov,KVK,D,79,8,4,4,3,2,2,2,1,10,3,4,3,4,2
Bryan Berard,KVK,D,34,10,4,4,4,2,3,3,1,11,2,6,3,4,3
Brian Rafalski,KVK,D,28,7,5,4,3,5,1,1,0,10,3,6,1,4,2
Brent Burns,KVK,D,2,8,4,3,2,4,2,3,0,7,1,2,1,2,1
Zigmund Palffy,MHA,F,33,5,5,5,4,3,4,2,1,11,5,4,3,3,2
Pavel Bure,MHA,F,17,6,6,6,5,3,4,1,1,14,4,6,3,3,2
Jeremy Roenick,MHA,F,97,9,5,5,4,4,4,4,0,10,4,4,5,5,3
Mark Recchi,MHA,F,8,5,4,4,4,2,4,3,1,7,4,4,1,4,3
Bob Probert,MHA,F,24,11,4,3,2,2,2,3,1,5,3,2,5,2,4
Shayne Corson,MHA,F,9,7,4,4,3,2,4,3,1,11,5,2,2,3,2
Phil Housley,MHA,D,6,6,5,5,4,3,3,2,1,11,2,4,4,5,3
Luke Richardson,MHA,D,22,9,3,3,3,4,3,4,1,7,3,5,3,4,3
Tomas Zizka,MHA,D,4,7,5,4,3,2,3,3,1,11,3,6,1,2,1
Bryan Marchment,MHA,D,20,8,4,3,3,2,2,5,1,5,3,4,3,4,5
Milan Michalek,MHT,F,41,10,4,3,3,1,3,3,1,2,3,2,1,2,1
Ryan Malone,MHT,F,17,10,4,4,3,2,4,3,1,6,4,2,3,3,3
Shawn Horcoff,MHT,F,10,8,4,3,3,3,1,3,1,10,4,4,3,3,5
Marco Sturm,MHT,F,19,7,5,6,3,3,3,2,1,7,3,4,0,3,3
Sergei Fedorov,MHT,F,91,8,6,5,4,4,6,2,1,11,4,5,1,4,2
Mark Mowers,MHT,F,18,6,5,5,3,3,4,3,0,7,4,3,3,4,4
Alexei Semenov,MHT,D,5,11,5,4,1,4,2,3,1,6,2,6,2,1,2
Bret Hedican,MHT,D,6,8,4,5,1,1,2,3,1,7,2,1,1,1,2
Jamie Heward,MHT,D,8,5,5,5,1,1,5,3,0,8,5,4,3,4,4
Petteri Nummelin,MHT,D,33,6,5,5,3,4,3,2,1,8,2,6,2,3,2
Jonathan Cheechoo,MGG,F,14,7,5,4,3,5,4,3,0,7,4,2,2,3,2
Jason Blake,MGG,F,55,5,3,5,4,4,2,2,1,10,3,4,2,3,4
Matt Cullen,MGG,F,16,6,5,5,3,4,3,4,1,7,5,4,3,5,3
Maxim Afinogenov,MGG,F,61,6,5,4,3,2,2,2,1,10,3,3,2,2,4
Patrick Marleau,MGG,F,12,9,4,5,4,2,4,2,1,9,5,3,1,4,2
Adam Oates,MGG,F,19,5,4,4,5,4,4,2,0,9,3,5,3,6,2
Jordan Leopold,MGG,D,4,6,3,3,3,0,2,1,0,2,2,3,0,4,1
Cory Sarich,MGG,D,21,7,2,2,2,2,2,3,1,2,2,4,1,2,3
Chris Phillips,MGG,D,5,9,4,4,2,5,4,3,1,8,3,6,3,2,3
Scott Walker,MGG,D,24,8,4,3,2,3,5,4,0,8,5,5,4,5,5
Craig Conroy,NBK,F,89,7,5,4,4,5,4,4,0,7,4,5,3,5,2
Martin Rucinsky,NBK,F,16,8,5,4,3,4,3,3,1,6,3,2,3,3,3
Jaromir Jagr,NBK,F,68,12,6,5,4,3,4,2,1,14,6,4,0,4,2
Chris Kunitz,NBK,F,12,6,4,3,2,4,2,3,1,10,3,4,1,3,1
Mark Parrish,NBK,F,14,8,5,4,4,5,4,3,0,9,5,2,1,2,1
Brendan Morrison,NBK,F,7,5,5,4,4,5,4,3,1,9,4,2,3,4,3
Toni Lydman,NBK,D,32,8,3,4,2,5,3,3,1,5,2,6,2,3,2
Scott Stevens,NBK,D,4,9,4,4,2,6,3,5,1,7,3,5,6,3,2
Sandis Ozolinsh,NBK,D,44,9,4,4,4,3,3,4,1,9,3,5,5,4,3
Greg DeVries,NBK,D,17,9,4,3,3,5,2,4,1,5,3,4,4,3,2
Tony Amonte,OCW,F,10,8,5,5,4,3,4,2,1,9,4,5,5,4,2
Eric Staal,OCW,F,77,8,5,5,3,3,3,3,1,4,2,2,3,3,3
Alexander Semin,OCW,F,22,8,4,4,3,3,3,3,0,7,3,2,2,3,2
Mario Lemieux,OCW,F,66,11,4,5,6,4,4,1,0,14,6,4,2,6,3
Ales Hemsky,OCW,F,83,6,4,3,3,4,4,3,0,6,4,2,1,3,1
Scott Gomez,OCW,F,23,7,4,5,5,6,4,3,1,11,3,2,3,5,3
Teppo Numminen,OCW,D,27,8,4,4,3,4,3,3,0,9,3,4,1,3,2
Eric Brewer,OCW,D,44,10,4,5,3,4,5,4,1,7,3,3,4,3,3
Alexei Zhitnik,OCW,D,5,8,4,4,3,5,3,3,0,7,3,5,3,4,2
Bryan Allen,OCW,D,2,10,5,3,1,3,1,3,1,1,1,5,3,1,3
Eric Lindros,PNS,F,88,12,4,4,4,3,5,4,0,10,4,5,2,4,4
Patrice Bergeron,PNS,F,12,5,4,4,3,3,3,3,0,7,3,2,2,3,2
Adam Graves,PNS,F,14,8,5,4,4,3,4,5,1,7,5,4,3,3,4
Brett Hull,PNS,F,9,8,4,4,5,4,5,2,0,9,4,4,3,3,2
Ryan Smyth,PNS,F,94,7,5,5,4,3,3,3,0,9,4,3,3,4,3
Radek Dvorak,PNS,F,20,8,5,5,3,2,4,2,0,7,4,4,4,3,2
Brian Leetch,PNS,D,2,6,5,4,4,4,4,2,1,11,2,5,2,5,2
Fedor Tyutin,PNS,D,5,8,5,4,2,3,2,3,1,10,2,6,1,2,1
Glen Wesley,PNS,D,6,8,4,4,3,3,4,3,1,7,3,4,5,4,3
Darryl Sydor,PNS,D,23,8,4,4,4,4,4,3,1,9,3,4,3,4,2
Marian Hossa,PIT,F,18,8,5,5,5,4,5,3,1,9,4,4,4,4,2
Michael Ryder,PIT,F,33,6,5,4,4,5,4,3,0,10,3,2,2,4,2
Vyacheslav Kozlov,PIT,F,13,6,4,4,4,2,4,3,1,9,3,2,3,4,3
Adam Deadmarsh,PIT,F,28,9,4,5,3,2,3,3,0,9,5,4,3,5,3
Magnus Arvedson,PIT,F,20,7,5,4,3,5,3,3,1,8,4,2,1,2,1
Martin Havlat,PIT,F,9,6,4,4,5,4,3,2,1,14,5,4,2,4,3
Dick Tarnstrom,PIT,D,32,8,5,4,4,1,4,3,1,8,3,6,2,4,2
Kenny Jonsson,PIT,D,44,10,3,4,3,5,3,4,1,7,3,4,2,4,2
Tomas Kaberle,PIT,D,15,8,5,4,3,4,4,3,1,9,5,4,1,4,3
Danny Markov,PIT,D,55,6,4,3,2,3,2,3,1,2,2,5,4,2,4
John LeClair,PRO,F,10,11,4,5,4,3,4,3,1,10,5,4,4,3,2
Vaclav Prospal,PRO,F,20,7,4,4,3,4,3,2,1,9,4,3,4,4,2
Mike Modano,PRO,F,9,8,6,6,4,6,5,2,1,11,5,5,2,4,2
Tomas Plekanec,PRO,F,24,7,3,2,1,1,1,3,1,2,0,5,1,2,0
Joe Nieuwendyk,PRO,F,25,8,4,5,4,4,4,2,1,12,4,3,2,4,2
Saku Koivu,PRO,F,11,5,5,4,4,4,4,3,1,10,3,2,3,5,3
Ruslan Salei,PRO,D,24,9,4,4,3,4,4,5,1,9,3,5,4,3,4
Brent Sopel,PRO,D,3,8,3,2,3,5,3,3,0,6,2,6,2,3,2
Frantisek Kaberle,PRO,D,8,5,3,4,3,3,0,2,1,10,1,6,2,4,3
Dan Hamhuis,PRO,D,39,7,5,4,3,2,3,3,1,3,2,6,3,3,3
Steve Sullivan,REN,F,26,3,5,4,3,3,3,2,0,9,4,4,5,4,2
Simon Gagne,REN,F,12,6,4,4,4,4,4,1,1,10,3,4,1,3,2
Todd Bertuzzi,REN,F,20,13,5,5,4,4,4,4,1,11,5,4,4,4,4
